,hidden_size,seq_length,batch_size,learning_rate,precision,recall,f-measure,BLEU
0,256,50,32,0.005,86.36784100219363,82.42282082324455,84.34922888300962,6.053371429443359
1,256,50,32,0.01,87.02161307327358,83.272800645682,85.10594421817805,6.017131805419922
2,256,100,32,0.005,85.76201421927621,80.9296811945117,83.27580389815992,6.613508224487305
3,256,100,32,0.01,85.76901286858931,80.1856335754641,82.88339959590694,5.695898056030273
4,256,400,32,0.005,86.34687305215043,83.85542776432608,85.08291534445696,6.885257244110107
5,256,400,32,0.01,88.17625395508065,85.75211864406779,86.94729304656931,8.132452964782715
